country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit,profit_margin,year,month,weekday
Uk,164971.7,132686.74,2019-07-20,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,Pc,32-3534634,32284.96,19.5699989755818,2019,7,Saturday
Uk,149486.27,118662.2,2019-06-08,Beauty,Johns And Sons,Jessamine Apark,Genevra Charrisson,Pc,02-3972649,30824.0699999999,20.6200007532464,2019,6,Saturday
Sweden,54078.92,46102.28,2020-08-11,Books,Tillman And Sons,Maxie Marrow,Anita Woakes,Pc,08-7576451,7976.63999999999,14.7499987055954,2020,8,Tuesday
France,107499.78,91364.06,2019-02-26,Smartphones,"Rowe, Hermiston And Kessler",Othello Bowes,Amelina Piscopiello,Pc,68-3583935,16135.72,15.0100028111685,2019,2,Tuesday
Uk,29493.79,24285.19,2019-11-22,Games,Tillman And Sons,Jessamine Apark,Jay Morefield,Pc,53-7769693,5208.6,17.6599887637363,2019,11,Friday
Portugal,147656.52,124193.9,2019-05-06,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,Pc,85-4732103,23462.6199999999,15.8899993037896,2019,5,Monday
Portugal,156839.31,134709.28,2020-11-05,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,Pc,27-9800293,22130.03,14.1100021416824,2020,11,Thursday
Spain,81412.1,64747.04,2019-06-11,Electronics,Johns And Sons,Emalia Dinse,Bertha Walbrook,Pc,67-3929836,16665.06,20.4700038446373,2019,6,Tuesday
Sweden,56717.53,45101.78,2019-10-03,Clothing,Johns And Sons,Maxie Marrow,Alyosha Meah,Pc,13-0526029,11615.75,20.4799997461102,2019,10,Thursday
Netherlands,17028.19,14102.75,2020-07-02,Clothing,Johns And Sons,Denice Amberg,Nero Harbisher,Pc,38-5910704,2925.43999999999,17.1799821355058,2020,7,Thursday
Finland,236462.3,205674.91,2020-12-23,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,Pc,41-6407014,30787.3899999999,13.0199993825654,2020,12,Wednesday
Portugal,172989.17,142975.55,2020-10-06,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,Pc,22-6745595,30013.62,17.3499994248194,2020,10,Tuesday
Sweden,48179.57,41405.52,2020-08-14,Books,Franecki-White,Maxie Marrow,Anita Woakes,Pc,96-3022721,6774.05,14.0600051017474,2020,8,Friday
Portugal,121318.55,102890.26,2020-10-03,Electronics,"Jacobson, Marvin And Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329,18428.29,15.1900018587429,2020,10,Saturday
Belgium,93153.98,79702.55,2020-03-04,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872,13451.4299999999,14.4399949417083,2020,3,Wednesday
Bulgaria,98289.32,84116.0,2019-02-15,Appliances,"Murray, Reichel And Nolan",Charil Alpe,Shermy Mcgready,Pc,78-2307905,14173.32,14.4200000569746,2019,2,Friday
Luxembourg,108920.56,94270.74,2019-08-07,Books,"Swaniawski, Runolfsson And Green",Ilsa Kob,Jocelyn Laurentino,Pc,63-0019978,14649.8199999999,13.4500042967094,2019,8,Wednesday
Portugal,37273.84,31559.76,2020-01-20,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924,5714.07999999999,15.3300008799737,2020,1,Monday
Spain,221745.05,190767.27,2019-06-25,Appliances,Kirlin And Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507,30977.78,13.9699984283752,2019,6,Tuesday
Netherlands,54566.99,43757.27,2020-03-23,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,Pc,36-3410564,10809.72,19.8099986823535,2020,3,Monday
Portugal,111639.29,97204.33,2019-10-28,Smartphones,"Keeling, Monahan And Pollich",Celine Tumasian,Hortense Gerring,Pc,82-4653018,14434.9599999999,12.9299998235388,2019,10,Monday
Sweden,74273.54,61981.27,2020-03-28,Beauty,"Swaniawski, Runolfsson And Green",Maxie Marrow,Caro Morfield,Pc,29-1001593,12292.2699999999,16.5499988286541,2020,3,Saturday
Portugal,95566.43,80342.7,2019-07-05,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,Pc,59-5568557,15223.7299999999,15.9299975943435,2019,7,Friday
France,28783.05,24776.45,2019-03-29,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,Pc,12-1249283,4006.59999999999,13.9199980544104,2019,3,Friday
Uk,124414.74,98959.48,2019-06-13,Outdoors,Labadie And Sons,Jessamine Apark,Winny Agnolo,Pc,96-0180648,25455.26,20.4600033725907,2019,6,Thursday
Portugal,153029.72,125117.1,2020-01-28,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,Pc,51-9029547,27912.6199999999,18.2399993935818,2020,1,Tuesday
Sweden,174919.64,146845.04,2020-03-11,Clothing,Wiza And Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836,28074.6,16.0499987308457,2020,3,Wednesday
France,55804.05,46401.07,2019-05-03,Electronics,"Rowe, Hermiston And Kessler",Othello Bowes,Crysta Halls,Pc,57-6995715,9402.98,16.8499956544372,2019,5,Friday
France,89160.66,75367.51,2019-11-18,Beauty,Wiza And Sons,Othello Bowes,Crysta Halls,Pc,27-4115444,13793.15,15.4699953993162,2019,11,Monday
Uk,27987.13,24001.76,2019-03-26,Games,Labadie And Sons,Jessamine Apark,Genevra Charrisson,Pc,34-3302340,3985.37,14.2400096044146,2019,3,Tuesday
France,18326.41,15067.97,2019-03-02,Games,"Schmitt, Purdy And Johnson",Othello Bowes,Ora Grennan,Pc,25-6638623,3258.44,17.7800234743193,2019,3,Saturday
Netherlands,62708.6,51414.78,2019-08-29,Smartphones,"Hamill, Kulas And Roob",Denice Amberg,Nero Harbisher,Pc,11-5260310,11293.82,18.0100018179324,2019,8,Thursday
Uk,124668.36,103998.35,2020-05-11,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,Pc,68-5024232,20670.0099999999,16.5799967209001,2020,5,Monday
Italy,109390.57,87414.0,2020-12-11,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115,21976.57,20.090004101816,2020,12,Friday
Portugal,103279.79,82334.65,2020-12-03,Appliances,Johns And Sons,Celine Tumasian,Aurelie Wren,Pc,23-8271333,20945.14,20.2799986328399,2020,12,Thursday
France,173478.65,139650.31,2019-01-29,Books,Johns And Sons,Othello Bowes,Avrit Chanders,Pc,99-7422044,33828.34,19.5000018734293,2019,1,Tuesday
Sweden,57927.54,48914.01,2019-01-18,Games,"Fisher, Morar And Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861,9013.52999999999,15.560008244783,2019,1,Friday
Portugal,84767.77,68950.1,2020-01-18,Electronics,Mcglynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688,15817.6699999999,18.6600048579784,2020,1,Saturday
France,138175.53,116744.51,2020-03-11,Other,"Spencer, Rogahn And Muller",Othello Bowes,Ora Grennan,Pc,80-8230605,21431.02,15.5099965963582,2020,3,Wednesday
Portugal,143107.89,121241.0,2020-02-11,Electronics,Kirlin And Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377,21866.89,15.2800030801935,2020,2,Tuesday
Sweden,54446.5,44989.14,2020-09-03,Appliances,Wunsch Llc,Maxie Marrow,Alyosha Meah,Tablet,47-5524071,9457.36,17.3700054181627,2020,9,Thursday
Portugal,136324.9,110436.8,2019-10-29,Electronics,Walter Llc,Celine Tumasian,Hortense Gerring,Tablet,76-2572347,25888.0999999999,18.9900010929771,2019,10,Tuesday
Portugal,43066.58,36154.39,2019-08-02,Games,"Hamill, Kulas And Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133,6912.19,16.0500090789656,2019,8,Friday
France,224626.25,189988.88,2020-07-21,Electronics,"Christiansen, Donnelly And Bechtelar",Othello Bowes,Ora Grennan,Pc,69-1300467,34637.3699999999,15.4200010016638,2020,7,Tuesday
France,115689.22,98127.6,2019-07-15,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,Pc,99-8643527,17561.6199999999,15.1799968916723,2019,7,Monday
Bulgaria,78293.94,66236.67,2019-10-13,Appliances,"Rowe, Hermiston And Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584,12057.27,15.4000041382513,2019,10,Sunday
Portugal,92698.45,73454.25,2020-01-13,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,Pc,62-4331197,19244.1999999999,20.7600019202047,2020,1,Monday
Bulgaria,83141.47,72000.51,2019-03-15,Outdoors,Wisoky Inc,Charil Alpe,Shermy Mcgready,Mobile,02-3333733,11140.96,13.400003632363,2019,3,Friday
Portugal,38982.26,32854.25,2019-12-10,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499,6128.01,15.7199967369772,2019,12,Tuesday
Portugal,57120.58,49654.92,2019-11-25,Games,"Leffler, Prohaska And Streich",Celine Tumasian,Aurelie Wren,Pc,55-7848276,7465.66,13.0700003396324,2019,11,Monday
Sweden,240759.07,205415.64,2020-06-14,Appliances,"Schmitt, Purdy And Johnson",Maxie Marrow,Tarrah Castelletti,Pc,98-1814878,35343.4299999999,14.6799993869389,2020,6,Sunday
Sweden,53849.12,47354.92,2020-04-15,Games,"Rowe, Hermiston And Kessler",Maxie Marrow,Alyosha Meah,Pc,83-9569509,6494.2,12.0599928095389,2020,4,Wednesday
Ireland,361182.87,288368.4,2019-02-12,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,Pc,44-1953194,72814.4699999999,20.1600009435663,2019,2,Tuesday
Sweden,97063.22,78067.95,2019-10-19,Appliances,"Zieme, Bailey And Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562,18995.27,19.5699977808278,2019,10,Saturday
Spain,39110.97,34315.97,2019-10-27,Clothing,"Bashirian, Okuneva And Bechtelar",Emalia Dinse,Perri Aldersley,Pc,06-9596696,4795.0,12.2599874152955,2019,10,Sunday
France,123672.7,106036.97,2020-11-13,Smartphones,Mcglynn-Prosacco,Othello Bowes,Crysta Halls,Pc,46-2632808,17635.7299999999,14.2600024095859,2020,11,Friday
France,144640.8,118345.1,2019-11-04,Electronics,"Murray, Reichel And Nolan",Othello Bowes,Avrit Chanders,Pc,77-7771177,26295.6999999999,18.1800017699017,2019,11,Monday
France,268779.03,233676.49,2019-12-27,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842,35102.54,13.0599995096343,2019,12,Friday
Sweden,53593.86,45629.81,2020-12-07,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,Pc,71-4409662,7964.05,14.8600044855884,2020,12,Monday
France,155044.02,134268.12,2019-10-25,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,Pc,46-0270404,20775.8999999999,13.4000008513711,2019,10,Friday
Portugal,102495.13,85009.46,2020-08-08,Smartphones,"Hermiston, Simonis And Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956,17485.67,17.0600008019893,2020,8,Saturday
Portugal,294472.77,255572.92,2019-11-06,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661,38899.85,13.209999009416,2019,11,Wednesday
Sweden,64053.77,54733.95,2020-01-09,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,Pc,75-6638402,9319.82,14.5499944811991,2020,1,Thursday
Uk,24543.72,19492.62,2019-03-22,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,Pc,53-0615558,5051.1,20.5800098762534,2019,3,Friday
Portugal,161544.06,132579.21,2019-12-09,Clothing,Johns And Sons,Celine Tumasian,Smitty Culverhouse,Pc,00-2549549,28964.85,17.9300000259991,2019,12,Monday
Portugal,50303.66,41103.12,2020-06-01,Appliances,"Christiansen, Donnelly And Bechtelar",Celine Tumasian,Smitty Culverhouse,Pc,23-1397222,9200.54,18.2900011649251,2020,6,Monday
Sweden,124593.04,109106.13,2020-11-01,Appliances,Johns And Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524,15486.9099999999,12.4299960896692,2020,11,Sunday
Sweden,44147.92,37163.72,2020-05-18,Beauty,"Murray, Reichel And Nolan",Maxie Marrow,Madelon Bront,Pc,76-3837496,6984.19999999999,15.8199978617339,2020,5,Monday
Bulgaria,42239.66,37039.96,2019-05-17,Smartphones,Johns And Sons,Charil Alpe,Shermy Mcgready,Pc,61-7979087,5199.7,12.3099949194666,2019,5,Friday
Sweden,113763.38,91158.6,2020-01-04,Books,"Christiansen, Donnelly And Bechtelar",Maxie Marrow,Madelon Bront,Pc,52-8377955,22604.78,19.8699968302629,2020,1,Saturday
Portugal,183363.6,155033.92,2019-06-24,Smartphones,Johns And Sons,Celine Tumasian,Hortense Gerring,Pc,87-6162387,28329.6799999999,15.4500020723851,2019,6,Monday
France,85220.83,73767.15,2019-09-15,Beauty,"Shanahan, Schaden And Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256,11453.68,13.440000525693,2019,9,Sunday
Portugal,87513.27,72469.74,2020-05-03,Books,"Lubowitz, Mclaughlin And Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414,15043.5299999999,17.1899987281928,2020,5,Sunday
Bulgaria,37073.91,30274.55,2019-04-26,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881,6799.36,18.3400132330256,2019,4,Friday
France,122139.94,103684.6,2019-02-11,Smartphones,Smith Group,Othello Bowes,Ora Grennan,Pc,07-3222085,18455.3399999999,15.1099959603713,2019,2,Monday
France,107586.21,94525.24,2020-07-06,Electronics,"Spencer, Rogahn And Muller",Othello Bowes,Amelina Piscopiello,Pc,20-3384992,13060.97,12.1400038164742,2020,7,Monday
Uk,203958.16,176444.2,2020-02-12,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,Pc,09-3404706,27513.9599999999,13.4900020670906,2020,2,Wednesday
Portugal,55132.39,47121.65,2019-11-06,Clothing,"Dickinson, Hyatt And Berge",Celine Tumasian,Hortense Gerring,Pc,97-8712680,8010.73999999999,14.5300067709743,2019,11,Wednesday
Ireland,135424.06,116275.1,2020-01-15,Electronics,"Hamill, Kulas And Roob",Glenine Suttaby,Palm Wetherald,Pc,43-4245267,19148.9599999999,14.1399984611301,2020,1,Wednesday
Sweden,167123.72,132946.92,2019-01-08,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,Pc,58-8969119,34176.7999999999,20.4499995572142,2019,1,Tuesday
Germany,92868.37,79068.13,2020-03-30,Electronics,"Fisher, Morar And Skiles",Rickard Doogood,Casie Macbain,Pc,88-8436664,13800.2399999999,14.8600002347408,2020,3,Monday
Portugal,108689.45,91223.06,2019-09-11,Appliances,Walter Llc,Celine Tumasian,Brynn Dempster,Mobile,35-6825112,17466.39,16.0699957539577,2019,9,Wednesday
Portugal,79874.42,68132.88,2020-11-14,Outdoors,"Farrell, Swaniawski And Crist",Celine Tumasian,Smitty Culverhouse,Pc,24-4511396,11741.5399999999,14.7000003255109,2020,11,Saturday
Germany,153011.39,131543.89,2019-09-13,Appliances,Johns And Sons,Rickard Doogood,Casie Macbain,Pc,99-0564964,21467.5,14.0300012959819,2019,9,Friday
Portugal,72857.41,60442.51,2020-10-05,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,Pc,47-9920494,12414.9,17.0399963435428,2020,10,Monday
France,102771.44,83584.01,2019-11-24,Accessories,Mcclure Inc,Othello Bowes,Maighdiln Upcraft,Pc,82-9352154,19187.43,18.6700020939669,2019,11,Sunday
Uk,90559.16,75318.05,2019-08-26,Outdoors,"Dickinson, Hyatt And Berge",Jessamine Apark,Genevra Charrisson,Pc,74-6920956,15241.11,16.8300037235327,2019,8,Monday
Portugal,141796.75,112317.21,2020-09-16,Games,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,16-8778373,29479.5399999999,20.7899969498595,2020,9,Wednesday
Bulgaria,103874.1,82112.48,2019-01-14,Outdoors,Johns And Sons,Charil Alpe,Shermy Mcgready,Pc,85-4014655,21761.62,20.9499961973196,2019,1,Monday
Spain,134908.19,114388.65,2020-08-18,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,Pc,25-2355172,20519.54,15.210003188094,2020,8,Tuesday
Portugal,45256.74,38975.1,2019-01-14,Other,"Spencer, Rogahn And Muller",Celine Tumasian,Smitty Culverhouse,Pc,31-7667796,6281.63999999999,13.8800099167549,2019,1,Monday
Portugal,131018.65,107920.06,2020-02-04,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,Pc,39-2536155,23098.5899999999,17.6300015303164,2020,2,Tuesday
Ireland,84877.87,68454.0,2019-01-12,Electronics,"Zieme, Bailey And Herzog",Glenine Suttaby,Bunnie Tonbridge,Pc,30-8840089,16423.8699999999,19.3500025389421,2019,1,Saturday
France,168197.78,144246.42,2019-01-13,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,Pc,93-8309926,23951.3599999999,14.2399976979482,2019,1,Sunday
Uk,383996.76,304701.43,2019-12-19,Other,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,42-7823733,79295.33,20.6499997552062,2019,12,Thursday
France,56811.14,48221.3,2019-07-10,Clothing,"Schowalter, Lesch And Beahan",Othello Bowes,Ora Grennan,Pc,03-9337803,8589.83999999999,15.119992311367,2019,7,Wednesday
Portugal,74364.46,60145.98,2020-01-21,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788,14218.48,19.1199936098507,2020,1,Tuesday
Finland,235608.66,201468.96,2020-07-27,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841,34139.7,14.4900021926189,2020,7,Monday
Sweden,31627.37,25662.45,2020-08-27,Beauty,"Christiansen, Donnelly And Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889,5964.91999999999,18.8599937332759,2020,8,Thursday
Sweden,57227.99,46331.78,2019-03-28,Appliances,Johns And Sons,Maxie Marrow,Alyosha Meah,Pc,92-7234550,10896.21,19.0400012301672,2019,3,Thursday
Portugal,84598.68,72391.09,2020-04-28,Clothing,"Hamill, Kulas And Roob",Celine Tumasian,Brynn Dempster,Pc,98-5721101,12207.5899999999,14.4300005626565,2020,4,Tuesday
Sweden,98322.98,84872.4,2020-09-10,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,Pc,32-9344186,13450.58,13.6799962735059,2020,9,Thursday
Netherlands,62567.58,49916.42,2019-04-21,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,Pc,40-7356336,12651.16,20.2199925264809,2019,4,Sunday
Sweden,239423.57,199152.52,2019-08-12,Electronics,"Hamill, Kulas And Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263,40271.05,16.8200023080434,2019,8,Monday
France,68773.03,59082.91,2019-09-30,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Pc,26-5649751,9690.11999999999,14.0900001061462,2019,9,Monday
Germany,102918.09,87480.38,2019-10-28,Smartphones,"Swaniawski, Runolfsson And Green",Rickard Doogood,Casie Macbain,Pc,88-5343320,15437.7099999999,14.9999965992373,2019,10,Monday
Uk,150313.19,118927.8,2020-01-23,Beauty,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,09-6527060,31385.39,20.8799972909895,2020,1,Thursday
Sweden,144072.9,123729.81,2019-07-13,Beauty,"Fisher, Morar And Skiles",Maxie Marrow,Anita Woakes,Pc,85-3431441,20343.0899999999,14.1199975845561,2019,7,Saturday
Sweden,69681.43,55529.13,2020-01-25,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,Pc,78-3301264,14152.2999999999,20.3100022488057,2020,1,Saturday
Sweden,78542.59,68010.03,2019-05-26,Games,Kihn Inc,Maxie Marrow,Caro Morfield,Pc,02-9523107,10532.5599999999,13.4099983206563,2019,5,Sunday
Portugal,37582.13,31967.36,2020-07-05,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287,5614.76999999999,14.9399994092937,2020,7,Sunday
Sweden,88329.48,73755.12,2020-08-16,Clothing,Corwin And Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389,14574.36,16.4999952450755,2020,8,Sunday
Portugal,249099.44,215695.2,2020-06-15,Other,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,88-4621939,33404.2399999999,13.4100020457693,2020,6,Monday
Uk,28328.78,24408.08,2019-02-19,Clothing,"Dickinson, Hyatt And Berge",Jessamine Apark,Jay Morefield,Pc,68-9634139,3920.69999999999,13.839988873506,2019,2,Tuesday
Portugal,162246.76,142663.58,2019-08-28,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,Pc,44-5200140,19583.18,12.0699975765309,2019,8,Wednesday
Germany,161217.16,135696.48,2019-10-20,Games,Labadie And Sons,Rickard Doogood,Casie Macbain,Pc,98-6247105,25520.6799999999,15.830002215645,2019,10,Sunday
France,37397.43,30837.92,2020-05-17,Games,Hegmann Group,Othello Bowes,Avrit Chanders,Pc,24-6566439,6559.51,17.5400020803568,2020,5,Sunday
Uk,99064.31,85393.44,2020-10-07,Books,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,52-9152387,13670.8699999999,13.7999951748515,2020,10,Wednesday
Sweden,15817.05,13743.44,2019-10-03,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,Pc,26-9787272,2073.60999999999,13.1099667763584,2019,10,Thursday
Portugal,38930.16,32837.59,2020-11-18,Outdoors,"Spencer, Rogahn And Muller",Celine Tumasian,Brynn Dempster,Pc,12-2202467,6092.57,15.6499998972519,2020,11,Wednesday
Portugal,28859.73,23656.32,2019-09-01,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890,5203.41,18.0300023596894,2019,9,Sunday
France,54079.04,45031.62,2020-05-29,Games,"Lueilwitz, Kerluke And Lesch",Othello Bowes,Avrit Chanders,Pc,15-6838362,9047.41999999999,16.7299937276993,2020,5,Friday
Sweden,70596.7,60564.91,2020-09-02,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,Pc,51-0685379,10031.7899999999,14.2099984843484,2020,9,Wednesday
Uk,169629.55,135347.42,2019-10-23,Outdoors,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,76-5919033,34282.1299999999,20.2099987885365,2019,10,Wednesday
Portugal,95387.89,76195.85,2020-08-05,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,Pc,34-7627348,19192.0399999999,20.1199963643183,2020,8,Wednesday
France,50585.98,40999.94,2020-08-29,Beauty,"Bashirian, Okuneva And Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,9586.04,18.9499936543682,2020,8,Saturday
Sweden,103726.57,90231.74,2020-05-21,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528,13494.83,13.0100031264891,2020,5,Thursday
Uk,222700.23,194951.78,2020-12-12,Appliances,Johns And Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233,27748.45,12.4600006026037,2020,12,Saturday
Portugal,143322.47,114213.68,2020-05-19,Books,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,04-2863062,29108.79,20.3099974484112,2020,5,Tuesday
Uk,128227.36,106710.81,2019-01-06,Accessories,"Murray, Reichel And Nolan",Jessamine Apark,Jay Morefield,Pc,18-7077174,21516.55,16.7799992138963,2019,1,Sunday
Sweden,127939.8,112267.17,2019-09-12,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,Pc,64-8300193,15672.63,12.2500035172792,2019,9,Thursday
Sweden,146540.75,120822.85,2019-04-30,Smartphones,"Swaniawski, Runolfsson And Green",Maxie Marrow,Anita Woakes,Pc,84-2858993,25717.8999999999,17.5499988910934,2019,4,Tuesday
Portugal,36321.68,31581.7,2020-10-29,Books,Kirlin And Sons,Celine Tumasian,Smitty Culverhouse,Pc,72-2647440,4739.98,13.0500020924142,2020,10,Thursday
Spain,42814.57,35356.27,2019-01-02,Beauty,Wiza And Sons,Emalia Dinse,Perri Aldersley,Pc,68-1806238,7458.3,17.4200044517555,2019,1,Wednesday
Uk,169262.2,141080.04,2020-04-26,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,Pc,87-0922827,28182.16,16.6500021859576,2020,4,Sunday
Sweden,114427.36,93727.45,2020-11-03,Other,Tillman And Sons,Maxie Marrow,Madelon Bront,Pc,33-8547717,20699.91,18.0900005033761,2020,11,Tuesday
Uk,126979.62,105113.73,2019-09-26,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,Pc,15-5051694,21865.89,17.2199995558342,2019,9,Thursday
Luxembourg,294874.74,259106.43,2020-12-15,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,Pc,37-2363680,35768.31,12.130001369395,2020,12,Tuesday
Uk,173258.94,143198.51,2019-05-24,Clothing,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,92-4106004,30060.4299999999,17.3500022567378,2019,5,Friday
Luxembourg,158362.33,133990.37,2020-08-14,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,Pc,39-1671087,24371.9599999999,15.3899983664044,2020,8,Friday
